x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47
3.1703718,1.4275625,3.0208292,0.7708581,0.7648545,2.3518589,1.7646474,0.79475313,-0.6071891,-1.0853404,-1.0295203,-1.0789108,-0.1639075,-0.026651468,0.24692076,0.4634496,0.65044063,1.6351787,2.6772475,1.9325233,0.7622483,2.4805195,1.6982175,2.6213408,0.9690683,0.8410617,0.30968958,1.6321805,1.5511063,1.2828611,2.4878206,1.9072858,1.1823109,-0.21629937,1.1613939,1.2793936,0.62758297,-0.0045817983,1.4102626,1.7265823,0.72361845,-0.4713527,0.5170606,0.6333607,0.6439819,1.0235431,1.9074767,0.18308397
-0.32675114,-0.30982083,0.095264666,0.080834,0.35163197,0.28487226,-0.8292978,-0.16531473,-0.5640363,-2.009037,-1.1988022,-1.3098998,0.11277015,-1.3528864,-1.178849,-0.21806468,0.025568245,0.47224423,1.5194322,0.8924503,1.016909,2.5346985,1.7841934,1.6078918,-0.91292363,-0.9570304,-0.3489273,-0.77029175,-0.54748124,0.22348036,1.6884147,1.656676,-0.65791017,-0.08972154,1.3498524,0.3938621,0.1060987,-0.3577667,0.21002604,0.7701375,0.665025,-2.699626,-0.09837571,-0.22548108,-0.56546664,-2.1766913,2.4928207,1.1176881
0.0626122,-0.69508904,0.438085,0.07865988,0.23462607,1.2160515,0.8826423,-0.9620963,-0.14048035,-0.48212552,-2.5997176,-1.1658772,0.9282137,-2.2045472,-1.0493314,-0.3180557,1.4427463,1.7227956,1.9249816,1.4160377,0.82080096,2.1366036,1.671938,0.23542987,0.8450427,0.46913946,-0.6379068,0.31843892,-1.0977687,0.24843791,0.8146858,1.3800722,-0.6957765,-0.84529185,0.5827599,0.952973,-0.64224845,-0.9133235,0.47562778,0.3062645,0.65538937,-1.8997345,-0.29940432,-0.92533875,-0.73300505,0.279937,1.390956,1.0197028
-0.5901854,-0.9148707,-0.103755385,-0.84608287,0.4638852,-0.33641532,-0.8051744,-1.43408,0.2557442,-0.3561263,-0.34161004,-1.5921105,0.21258847,-0.28441826,0.2448627,-1.5915345,-0.076162376,1.0861207,1.3063174,0.1371448,-0.63083977,-0.17509809,0.5148595,-0.36745715,0.113878585,-0.18475781,0.6194707,0.14465593,-0.59310466,0.9222209,0.64878166,-0.042467248,-0.32934147,0.24714826,-1.4753405,-0.5913877,-1.7679617,-0.50101686,-0.099960685,-0.57123166,-0.011779965,0.37930626,-0.17499113,1.6406968,-0.19174603,0.32070392,0.1380338,-0.008996755
0.21028438,-1.3844093,-1.3735695,-0.66476077,0.37911332,0.022010699,-0.8301171,-0.91969,-2.1745577,-1.5837259,-1.4747013,-1.3623499,0.2703506,-1.5453404,-0.10178056,-0.7675835,-0.46991336,-0.037699074,0.9448677,-0.14308232,-0.58071935,0.08929604,0.5030198,0.3369729,1.8637915,-0.62937987,1.760356,-0.3054084,0.05223159,0.30553454,0.5212506,-0.21384753,-0.433167,1.0225917,-1.2605919,-0.36082083,0.7512919,-0.5822196,0.31522793,-0.4878067,-0.23348281,-2.1388257,0.22867005,-1.0211974,-1.490856,-0.8100318,0.9790943,-0.0511492
-0.28789532,1.1559744,-1.1340228,0.18014808,2.1154497,0.39350063,-0.09030334,0.022692744,-0.07133831,0.5986238,-0.11319308,-0.17129175,1.7337573,0.53169495,0.5246657,-0.5819943,-0.36965483,0.35214362,0.3299787,-0.16271879,-0.51456195,0.6072485,0.5501572,0.59294915,-0.6873212,-0.20401073,-0.21931003,-0.22590512,1.3777553,1.3431574,0.60383177,0.44877756,0.5159456,-0.7370285,-0.48965013,-0.15250796,-0.8542417,0.3631213,0.58158517,0.16670549,1.1202663,-1.1613082,-0.21006422,-0.25966617,-0.61761373,-0.13634755,-0.26384586,0.07369401
-1.609496,-1.028155,-0.97101307,-0.056179415,2.4396973,0.8737772,-0.38615602,-0.14610831,0.41635707,-0.5452527,-1.2068287,-1.7746415,0.8383698,-0.83764935,-0.9335654,0.16719252,-0.8633544,0.51232743,0.8706667,-0.10346012,-0.7799008,1.055719,0.58053094,-1.116882,1.2020518,0.18846801,0.14286438,-0.3287441,-0.31406847,-0.7975042,-0.3372478,-0.44416812,0.28952047,-0.2125001,-0.15990424,-0.4689057,1.7667955,1.4443705,1.0997092,0.4531155,0.355599,-1.7597611,-1.4528595,-1.5624458,-1.1780719,-1.9726694,-0.5480705,0.21655719
0.28386882,0.734057,-0.8046914,0.34851238,3.0417006,1.5201633,0.28274414,1.4262834,1.5690769,-0.25537795,-0.25931418,-1.0622668,1.7493144,-0.6177284,-2.0889337,1.1901051,-0.8510352,0.33023942,0.87186944,-0.39412642,-0.854451,0.65634143,1.1868988,-0.32182223,0.43841422,-1.1834527,1.1442122,-0.6013207,0.2182502,0.42726487,-0.7291871,-0.7179383,1.0454831,1.1813823,1.8973156,-0.72720516,1.3711485,0.66623765,0.3002126,0.11461454,0.6332497,-1.0730692,-1.7899567,-1.5979888,-1.9701475,-0.46110943,0.1438405,0.5287975
0.18964854,-0.3911502,0.09664968,0.3798198,1.1090827,-0.4021703,-1.2430364,1.0895686,-0.9736012,-0.91668254,-0.76561266,-0.92088515,0.17045785,-1.3791672,-2.326219,0.10648088,-1.527199,-0.2947755,-1.2509257,-1.6954498,-1.9974885,0.43170813,-0.18434471,-0.4589404,1.8199333,-1.5945326,1.3468108,0.0424131,-1.5359437,0.7723333,-0.17307438,0.08092958,0.5788137,-0.48276877,2.0385778,0.31469896,0.5443717,0.6280376,0.54518,-0.28850374,-0.6618781,-2.4706883,-1.7502321,-1.4271102,-0.6752603,-1.770895,-0.8433832,-0.84206986
-1.3084139,-1.9534887,-0.37852952,-0.62549603,1.8288031,-0.12921388,-1.1459967,2.0550878,0.30145928,-1.3696675,1.8479822,-1.1697464,-0.14336324,1.5699161,-0.39477387,-0.28453344,-1.8698909,-0.13645425,0.02198299,-1.9968657,-1.0415752,0.3349818,0.78269047,-0.19424565,1.8935143,-2.4633205,0.054270457,0.9284892,0.03738587,1.0136963,0.43120244,0.04783233,0.76646334,-0.41240084,-0.06375037,-1.4174619,0.77499574,4.3898597,0.4107029,-1.0912026,-0.16556002,-2.9133332,-1.211732,-2.4705982,-1.8517118,-4.0208793,1.2402304,-0.2508507
-1.2565725,0.36750925,-1.1059011,-0.97892195,1.01778,-0.56471694,-0.8223794,1.0469723,1.1026934,-0.6692114,-0.37589192,-1.0578449,1.4633323,-0.55434316,0.3421997,0.9312955,-2.0925672,0.09622204,0.0031070183,-0.8540699,-1.9406697,1.3828282,1.5313557,0.4027884,0.9805295,-0.5425412,1.8399761,-0.3575731,0.6307621,-0.30219266,0.09528981,0.070463896,-0.035638884,0.19652362,-0.13552614,0.70435655,2.404379,1.8092582,1.2859373,-0.048805937,0.23710312,-0.42705196,-0.4800093,-1.7323878,-1.2232955,-1.8526785,-1.7085831,1.0899304
-0.5395521,0.63723093,0.029265882,-0.5345741,1.8009014,0.6869634,0.27582574,1.202145,-0.91796225,-0.067973256,0.98846906,-0.7441273,0.7272372,-0.61487424,-0.75226873,0.67594033,-0.7334987,0.61354125,1.3033106,0.16368897,-0.59470737,1.119009,2.165995,1.3843508,1.7751275,-0.7653035,-0.1176216,1.4295684,0.3948147,0.9070046,-0.057015646,1.1793351,1.733259,0.21902706,-0.3685647,0.43977162,0.6797722,1.8109144,1.5087123,0.4909473,1.3152066,-0.7555907,0.6328659,0.1793078,0.10301746,-1.0409611,0.43293175,0.15784013
-0.1513967,0.16113171,-0.5551485,-1.0291443,1.6053312,-0.738546,-1.0381243,-0.015339788,-0.0961481,-1.6460879,0.09428727,-0.9643069,0.15073238,-0.33586782,0.06880478,0.3846553,-2.5462098,-0.40008703,-0.5300974,-1.312888,-1.8026414,0.14528851,0.7960239,0.09437924,1.7618631,0.1775881,-0.2246516,1.2195896,1.109446,-0.28317228,-0.577475,-0.031321485,0.117690146,0.33261588,-0.9147197,-0.1305937,0.034170836,0.8608261,1.3923669,-0.26854095,0.5649649,0.0099117635,-0.4409798,-0.5483194,-0.8013069,-0.9369524,0.42308798,0.30374634
