x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47
-1.5593982,-1.8440794,-1.2521427,-1.064254,-0.5963302,-1.3434238,-1.7532895,0.58375055,-0.6715449,-1.2719551,0.70599675,-0.43699455,-1.2321123,-0.3365875,-0.7008802,-1.8516381,-1.5859376,-1.8078238,-2.398222,-1.5405257,-0.5907487,-0.97752666,-1.225278,-0.8739151,0.18564355,-1.886359,1.384599,-1.4581538,-1.1866482,-0.8708549,-0.70116615,-0.7126373,-1.3632175,-0.1899908,-0.24713618,-1.3463277,0.20485297,0.020717168,-1.19594,-0.7311127,-2.8513472,-2.1509058,-2.1681383,-1.0622911,-1.9156841,-1.8708466,-0.45511156,-1.146545
-0.52660954,-1.460424,-0.76160705,-0.48151615,0.11208378,-0.7816685,-1.8191569,1.1010925,-0.5189147,-0.60239667,0.708687,0.39061588,-0.82664204,-0.1446429,-0.7888702,-0.96009105,-1.7502322,-1.3816872,-2.118402,-0.72136885,0.08985273,-0.20127271,-0.77458984,-0.76819825,0.25382376,-1.4608177,-0.31829068,-0.42914554,-0.65497535,-0.12078111,-0.39225277,-0.43522683,-0.5524046,-0.32849056,0.4956679,-0.75429016,-0.4557956,-1.4425553,-0.26869777,-0.3838995,-1.0396069,-2.0328848,-1.5765066,-1.4673413,-1.6535254,-1.4580032,-0.6888601,-1.1959037
-0.52888846,-1.4713615,-0.69758713,-0.4331738,0.018974813,-0.90857613,-1.7758176,0.77718455,-1.0074443,-0.46467236,0.81664014,0.79013026,-0.41958082,-0.23781903,-0.76705563,-0.86520773,-1.6231616,-1.1332333,-1.8805832,-0.7337332,0.063287124,-0.34198272,-0.7497847,-0.52571356,-0.7330033,-1.7198116,-0.7541548,-0.48562202,-0.7970532,-0.07753075,-0.49082553,-0.30415714,-0.00011952282,0.08388418,-0.33007312,-0.43651417,-0.22231117,-0.38210872,-0.4284213,-0.17302403,-1.2518964,-1.791073,-2.0599282,-1.3726898,-1.4014515,-1.4486415,-0.3473821,-1.4034384
-0.67659247,-1.1728415,-0.7527083,-0.575852,0.4248635,-0.7102844,-1.7217618,0.13392262,-0.5107124,-0.22551863,1.4013578,0.6935523,-0.8269464,0.9757134,0.8559559,-0.8120303,-1.39333,-0.97464293,-1.8785207,-0.82669085,-0.0764924,-0.3775604,-0.8232218,-0.5059522,-0.8439772,-1.3001915,0.21615303,-0.3332094,-0.6986998,0.05365348,-0.58774316,-0.38461906,0.09851668,0.26073918,-1.280718,-0.5748928,-0.9261953,-1.6886046,-0.8950327,-0.5445163,-0.69457537,-1.650958,-1.5715461,-0.74804175,-0.81374407,-1.0864338,-0.70220244,-1.0832182
-1.3442549,-1.2065865,-1.5738574,-1.1900486,-0.41935807,-1.2518882,-2.0968957,-0.89426184,-1.1304504,-1.4429661,-0.09040412,-0.79029953,-1.5594766,-0.25479987,-0.8454875,-2.2729962,-1.9443736,-1.6181432,-2.241707,-1.013268,-0.7317945,-1.2814202,-1.5043521,-0.92591405,-1.4400079,-1.6127857,-1.4984555,-1.1647819,-1.0401789,-1.0862238,-1.2632394,-1.0609764,-1.541157,-0.80230385,-1.3699949,-1.0152508,-2.845747,-1.3288857,-1.6736581,-0.8845025,-0.58299583,-1.7759567,-1.9188561,-1.2873143,-1.6094795,-1.7603171,-0.6859641,-1.1871736
-1.0700458,-1.053529,-1.3937573,-0.5908084,-0.46449417,-0.5274502,-1.7674398,-0.84903145,-0.8835925,-1.4992721,0.52872336,-0.29062846,-1.2661021,-0.6936219,-1.9904466,-1.4874476,-1.58968,-1.3259467,-1.5213802,-1.0824547,-0.5700492,-1.2515683,-1.4468286,-0.89768106,-0.95848155,-1.4296398,1.1721627,-1.0218478,-1.1723704,-0.8323647,-1.0704002,-0.8490119,-1.255378,-0.8749014,-1.4464524,-1.0206428,-0.7641529,-1.3416457,-1.7766519,-1.2944446,-0.96258247,-1.4220212,-1.8241527,-1.4851482,-1.0355487,-1.5636536,-0.5007322,-1.2914782
-1.066495,-1.405054,-1.0024964,-0.7961027,-0.8278734,-0.9503966,-1.8439349,-1.6416023,-0.7357539,-1.4001316,0.28932446,-0.82884365,-1.3462692,-0.6671457,-2.62507,-2.0187469,-1.8936833,-1.36186,-2.0279648,-1.2939295,-0.5812647,-1.6381077,-1.8547763,-0.83456683,-1.4355184,-1.3021522,0.8292303,-1.0960623,-1.7110019,-0.80225575,-1.026585,-1.047936,-1.5059874,-2.0366542,-1.6090367,-1.6122906,-0.18566413,-2.099746,-1.3207628,-1.2162853,-1.0049654,-1.6162748,-1.3404354,-1.9263228,-1.5117685,-1.758231,-1.051972,-1.1402191
-1.2536556,-2.0413191,-1.3141788,-0.66571087,-0.8688699,-1.4093077,-1.9642135,-0.60302764,0.37984216,-0.69525915,0.08183294,-0.3578993,-1.0508473,0.69065094,-0.5365553,-1.9419138,-2.010524,-1.5772731,-2.1192622,-1.4475117,-0.6472394,-1.4974107,-1.5533972,-0.8909543,-0.8870975,-1.3257589,-0.7970362,-0.9366782,-1.0220823,-0.6360362,-0.8908636,-0.8885326,-1.4311064,-2.2379634,-1.8470618,-1.2798343,0.7213424,-0.9330372,-2.0218117,-1.4074637,-1.6359087,-1.8130082,-1.5722423,-1.6398796,-1.5521976,-1.6826137,-0.762734,-1.4699484
-0.46727887,-1.9376284,-0.8528899,-0.24919991,0.022378933,-0.19530451,-1.316314,0.79681534,-0.10011868,0.280059,0.95381045,0.06139493,-0.7751524,-1.4020692,-0.39059886,-0.96579117,-1.5908916,-1.0646801,-1.2993531,-1.1113375,-0.33803955,-0.7672489,-1.0832735,-0.34334186,0.6889035,-0.76642066,0.43446204,-0.9162958,-0.7382236,-0.12025647,-0.38287362,-0.02780098,-0.3858794,-0.746126,-0.8969352,-0.7963198,-0.42333853,-0.29632482,-0.8060933,-0.47879586,-1.6209017,-1.5486095,-1.3709646,-0.54771864,-1.3566703,-1.2183933,-0.50137,-1.0990801
-0.8209576,-1.3280818,-0.662729,-0.57834136,-0.3620764,-0.7498053,-1.0550939,-0.88223577,-0.585294,-0.8023127,1.023725,-0.3443581,-0.9834626,-0.64265025,-0.06411095,-0.7576416,-1.1329923,-0.8532618,-0.93360955,-1.0813562,-0.5083385,-0.5334827,-1.0122496,-0.3408553,0.0788327,-0.9353559,0.5754469,-0.094888695,-0.8783072,-0.12774211,0.047263432,-0.0811611,-1.0335138,-0.5191509,0.20108224,-0.4446968,-0.82627374,0.42457053,-1.014067,-0.5758965,-0.9286617,-1.1885861,-0.9443723,-1.4207921,-0.98278385,-0.6599185,-0.46550614,-0.5916997
