x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47
2.666463,0.29701602,2.62159,1.9194043,1.374142,1.4051174,1.2663366,1.379603,-0.84340155,0.20982403,0.43844876,1.6006397,0.59624875,1.3847915,0.72414714,-0.2703798,1.2304907,1.360147,0.9624283,0.09754937,0.44935653,0.94161063,0.23866065,0.8181222,0.2946456,0.9133383,-1.0567764,1.3859326,0.46862435,0.052316826,0.63200366,0.5030247,1.5846739,-1.6949031,0.42751834,0.40749958,-0.84821457,1.212095,0.4632455,0.2618806,1.0633599,0.7327256,0.5294537,0.42814976,0.30580285,-0.004560736,0.9383114,0.63880366
1.1647083,-0.1210054,1.0860769,1.01783,-0.504541,0.1610192,0.37327677,-1.0915414,-0.49185318,-1.1171238,-0.14101836,0.52648324,-0.100813456,0.83945376,0.42160508,-1.0887485,0.62023425,0.63763237,-0.17303362,-0.8176527,-0.09508488,-0.1840979,-0.43701205,-0.6091679,0.5455652,-0.060129423,0.07646707,0.11476676,-1.4207195,-0.05997927,0.16948566,-0.12595712,1.0500554,-1.6845964,0.9476915,-1.0723385,-2.075084,-1.4694281,-1.3780539,-0.8754608,0.48639885,-0.28658947,-0.59636813,-0.65791804,-0.40609974,-0.7169183,-0.4063113,-0.40296513
0.44762498,-0.26881677,-0.4021138,0.16543315,-1.1113383,-0.83878386,-1.0430639,-1.2827233,-1.8221587,-1.4089721,0.514027,-0.47677392,-1.2190346,0.33899933,0.7333343,-1.9589736,-0.115369365,0.13246463,-0.67218786,-1.6415256,-0.048514746,-0.46257386,-1.12837,-1.0426908,-0.6881889,-1.0849468,-0.5078755,-0.8413454,-2.6998363,0.0140517475,0.3160406,-0.60841453,-0.041606486,-0.71797657,0.8240862,-1.0933113,-1.1820323,-1.8788184,-1.9207416,-0.9941314,0.569896,-0.81587434,-1.3097295,-1.4641933,-1.5280266,-1.2597342,-0.26650771,-1.2034413
-0.18451183,-1.8713887,-0.86405975,-0.5408043,-1.6092798,-2.0047512,-1.2196577,-1.6984174,-1.9166543,-1.9307386,-0.5475947,0.20488459,-1.6485506,0.12932141,1.2840008,-2.4710803,-0.67714,-0.4762585,-1.3919249,-1.7296703,0.5341316,-0.11649448,-1.0987668,-0.7255152,-0.795646,-1.4345374,-1.4823385,-1.1356063,-2.4905136,0.3821557,1.1347733,-0.62149566,-0.3298839,-0.8832286,-1.5439849,-0.72320974,-4.095217,-1.2246245,-2.0791807,-1.0969586,-0.30535358,-1.8289943,-1.7419698,-1.0941577,-2.932209,-2.71199,-0.58712924,-0.8366149
-1.0328581,-1.313098,-1.5026906,-1.2608839,-2.5624895,-2.0216856,-1.5415195,-1.531011,-1.0454373,-1.2054471,0.37307647,0.054160163,-2.6761014,-0.6245365,0.87770176,-2.7000628,-0.9786891,-1.8284647,-2.3766987,-2.3470867,-0.2885236,-1.8886359,-2.434478,-2.2180266,-1.0529513,-1.024564,-0.6982049,-1.0478663,-1.1702011,-0.68035454,-0.29559168,-1.8085532,-1.2572359,-0.6990808,-0.41543958,-1.8787088,-1.494812,-2.7206283,-2.3587303,-2.01204,-1.04773,-1.0618479,-1.0544642,-2.042595,-0.5517498,-0.9012603,-1.8017443,-1.4870821
-1.7769431,-1.7611057,-1.7889941,-2.167627,-2.007971,-1.5646629,-1.4505761,-1.9483049,-0.78708017,-1.1236657,0.22510721,-1.1452734,-3.0721657,-1.0847088,-1.3949875,-3.0159268,-1.3189521,-2.302009,-2.2439878,-2.3301456,-0.36830303,-2.0577638,-2.3039489,-1.9489393,-2.0101979,-0.46242037,-2.266137,-1.9399911,-2.3095613,-0.9279812,-0.50700927,-1.3423133,-1.6460669,-0.9011562,-1.4094803,-2.026717,-0.2662919,-0.030775439,-2.3012626,-2.287024,-1.0717865,-1.2434528,-0.802411,-1.9260596,-1.002761,-1.5539163,-1.4194154,-1.7153212
-1.7825614,-0.99933195,-1.7313417,-1.7217313,-1.4065756,-1.1987501,-1.0246152,-1.2114412,-0.90812516,-1.4415945,-0.20662801,-0.7720061,-1.6014754,0.062233984,-0.15039816,-2.0850558,-0.8990468,-1.591204,-1.8794843,-1.8946233,-0.6036515,-1.609304,-1.6333232,-1.3602309,-0.50969505,-0.4671691,-1.3162687,-1.4725256,-0.32714626,-1.2030512,-0.256762,-1.0401076,-1.3933775,-2.1765735,-0.41797328,-1.3415346,-0.7246573,-0.71091497,-2.1743944,-2.0217125,-1.2916497,-0.69986063,-1.0032613,-2.2035735,-0.3748853,-1.0743623,-1.3735244,-1.8459767
-2.1059115,-1.7994215,-1.7202219,-1.9974046,-1.2948077,-1.2282497,-1.4094998,-1.3584939,0.25010848,-1.1773189,0.13484733,-0.73110175,-1.7439147,-1.6426922,0.4878374,-2.6305616,-1.0978951,-2.010311,-2.0342593,-1.676533,-0.6031989,-1.741266,-1.5440719,-1.7381167,-0.2661714,-1.1400319,0.10826396,-1.4258715,-1.3966408,-1.3029224,-0.9782911,-1.094544,-1.6957803,0.18530342,-0.08278212,-1.7339492,0.15539947,-1.0624876,-1.4732676,-1.5326401,-0.9270726,-1.2149216,-0.7830861,-1.8973097,-0.64422363,-1.8775815,-1.5537274,-1.588896
-2.2599275,-2.3648605,-1.6307263,-2.233187,-1.6255083,-1.5910083,-1.5575228,-2.1885045,0.09265409,-0.7991429,-1.4360884,-1.2881362,-1.9847176,-2.0715768,-0.9969058,-1.1612599,-1.3737208,-2.029015,-1.731284,-1.3806792,-0.7832265,-2.0147452,-1.6294147,-1.922632,-1.184382,-1.8072385,-1.127164,-1.900792,-2.070396,-0.77499163,-1.2161553,-1.4635423,-2.049353,-0.9258925,-2.0387118,-1.2816817,0.30764773,1.2116517,-1.0165867,-2.370339,-1.3278035,-1.8664987,-1.981122,-2.2788658,-2.5615342,-1.4086201,-1.4198729,-1.7020563
-1.9830898,-2.0666935,-1.3073041,-1.5763605,-1.6302993,-1.3562791,-1.8675601,-1.5531422,-0.9349814,-1.7471685,-1.7109369,-2.0371866,-1.6264098,-1.8705668,-0.5866745,-1.2307171,-1.7146146,-1.9818203,-1.4976405,-1.28555,-0.9105819,-2.2387564,-2.2273238,-2.3382928,-1.3342211,-1.3662823,-0.824401,-1.2997835,-1.3259268,-1.0751945,-1.2762353,-2.0653532,-1.4223427,0.7439934,-0.86241937,-2.21192,1.6942383,-1.2175081,-1.7916758,-2.4837918,-1.9746644,-1.8520526,-1.7549512,-1.6291656,-0.8904305,-2.237203,-2.1555865,-2.4514365
