x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47
-2.06052,-0.9856307,-2.1656938,-2.1184478,-1.1963066,-1.1747322,-1.229413,-1.1810706,-1.084185,-2.1969438,-1.8905348,-2.0258687,-2.0995367,-0.6550978,1.6302859,-0.5211911,-0.54571307,0.9043096,-1.0222411,-2.213554,-1.7956489,-0.65695655,-1.0724014,-0.73661864,-1.3236065,-2.1355813,-0.1132254,-2.8543758,-2.4875724,-2.401693,-1.4668765,-0.833984,-2.1301134,-0.22136123,0.5366626,-1.0437309,-0.8779574,-0.7519925,-0.9398656,-1.3473238,-0.9634709,-1.38804,-1.6775223,-0.95029074,-0.90859234,-2.1257126,-0.70227754,-0.45120162
-2.4632945,-1.55636,-3.04358,-2.8698828,-1.5117078,-1.7832131,-0.98960894,-1.2433696,-2.3845928,-1.9397057,-1.866992,-2.2806613,-2.4668756,-1.204812,-0.49798247,-1.7117424,-0.3163103,0.39375827,-1.496136,-2.6773343,-2.3867893,-1.3322312,-1.3503633,-1.2268965,-2.091236,-2.3125792,-2.0244956,-2.934364,-2.101976,-2.435795,-1.8028336,-1.1813568,-2.0737002,-1.0249513,-0.2682734,-1.9130602,0.08477266,-3.2425325,-1.7987822,-1.6348631,-1.8090085,-2.1770704,-1.8841447,-3.1999645,-1.7185869,-2.4201343,-1.3332877,-1.5368081
-3.3532362,-3.1169038,-3.9332685,-3.2245448,-2.7577891,-3.1744995,-1.8439479,-2.6071022,-2.3744817,-2.2839637,-0.30471322,-3.0087233,-2.9870365,-2.1064794,0.24263312,-1.8128486,-1.1802762,-0.45204073,-2.157504,-2.7897122,-3.1903188,-1.63722,-1.1133038,-1.3543673,-3.014569,-2.5893843,-1.1154484,-3.4285293,-2.2745578,-3.0388653,-2.091822,-0.7033206,-3.7315097,-0.6066763,-1.800793,-2.2212486,-0.7788332,-0.9608105,-1.8161625,-1.8082026,-1.8837266,-2.975266,-2.4344032,-3.8291,-2.002634,-2.7878869,-1.1462008,-1.8504916
-3.2373102,-3.4446354,-3.2309337,-2.7993581,-3.3435168,-3.6367629,-3.047711,-2.3110821,-2.7369432,-3.7658234,-0.69114035,-2.9153388,-3.0399585,0.63785547,0.9056937,-1.0757604,-2.236817,-1.6525149,-2.8115704,-3.056112,-2.6541507,-1.2042542,-1.1915023,-0.8502494,-1.0776088,-3.780754,-1.0802629,-3.474258,-2.8593416,-2.8109603,-2.3963578,-0.7835382,-2.938524,-1.39023,-1.271694,-2.0016718,1.0597978,-1.038001,-2.042772,-1.6123471,-3.9003685,-3.3761559,-3.21014,-2.8503914,-1.6864983,-3.1406314,-1.7872404,-1.0074872
-2.5774403,-2.7285945,-2.5332747,-2.3740122,-2.2952812,-2.3249156,-2.0525165,-1.1252705,-2.4985275,-2.4866729,-1.78627,-2.7191045,-2.6301715,1.9992603,0.10731939,-1.3557253,-1.8230617,-0.79200274,-2.2075572,-2.412649,-2.5831308,-1.2035999,-0.5518919,-1.0113624,-2.9678452,-2.361315,-1.9730788,-3.023857,-2.6100042,-2.638289,-1.9129981,-0.8310095,-2.5278108,0.284791,-1.7701337,-0.8693007,0.522018,-0.23947622,-2.1393156,-1.2322698,-1.4310791,-3.2796483,-3.1306422,-2.6502404,-1.9419371,-2.74358,-0.8530462,-1.1475791
-2.431128,-1.7015568,-1.5799632,-1.4774505,-2.022978,-1.4132148,-1.4018784,-1.0814828,-1.6318194,-2.016416,-0.79878914,-3.0367608,-2.4624562,-0.731488,-0.5672696,-0.8274731,-1.0230657,-0.14933692,-1.2441823,-1.6832877,-2.4080744,-0.6111615,-0.075040095,-0.3999235,-1.2886862,-1.5549222,-1.2744638,-1.7472146,-2.1233587,-2.0441964,-1.1152904,-0.25370297,-2.238086,0.5915228,-1.3355207,-0.5517637,-0.29778397,-0.35963094,-1.0243859,-0.5899668,-1.7476908,-2.1679277,-1.3411621,-2.6781292,-1.4915476,-1.9695307,0.22019087,-0.4019171
-1.8304875,-1.688576,-1.748388,-1.1553113,-1.0929004,-1.8643899,-0.97837543,-1.4333029,-1.5214683,-1.7783788,-0.80325264,-2.6370068,-2.3783112,-0.8466145,-1.5666116,-1.2469751,-1.0438213,-0.21374036,-1.5875663,-1.7452394,-2.214645,-0.68891966,-0.22550109,-0.5033198,-0.93820447,-1.2231375,-0.67741656,-2.0823538,-1.616144,-2.036829,-0.9937098,-0.10117302,-2.2112637,0.8751093,-0.6926409,-1.2113634,0.5039794,-2.3252203,-0.50028867,-0.7686076,-1.4668138,-1.5516311,-2.2958777,-1.9279896,-1.7697129,-1.423981,-0.49301884,-0.14373142
-1.0904982,-1.0064058,-0.7937867,-1.1143472,-1.4756482,-0.8752085,-0.5009205,-0.31913915,-0.9465213,-1.3789226,-0.9968454,-2.2673326,-1.7631778,0.44546023,-0.007033519,-0.3639204,-0.49935886,-0.03364643,-0.9430198,-1.7249317,-1.7244406,-0.3778871,0.09490892,-0.27123213,-1.2561522,-0.41352743,-1.6337005,-1.9173293,-1.370317,-1.2785575,-0.40602964,0.091083854,-1.649504,1.3902136,0.23057158,-0.3656051,0.8989192,-0.1786511,-0.77449155,-0.91407084,-0.26677114,-0.7613984,-0.80955476,-1.7684216,-1.8585658,-1.9240841,-0.35644612,0.14003155
-1.141023,-1.4231411,-1.3733903,-1.0575835,-0.84330326,-1.1089193,-0.2733173,-0.14081863,0.041698437,-1.0490849,-0.3985048,-1.2982204,-1.3822494,0.23842704,1.8514225,-0.5054495,-0.46686834,0.21457678,-0.42097592,-1.8892981,-1.7491823,-0.3638682,-0.048921663,0.095340155,-1.4962054,-0.04323068,-1.8706388,-1.4320565,-1.4116912,-1.9101269,-0.31622365,0.44085497,-0.81988007,0.113008164,0.8259093,-0.04044386,0.25684455,1.0785724,-0.24429934,-0.24738169,-0.52907544,-0.8741721,-1.1520123,-1.27599,-2.089242,-1.3597476,-0.039135564,0.22575161
-0.75324374,-1.1131757,-1.0339285,-0.7608638,-0.81994647,-0.9190103,0.13395949,-0.78865886,-0.36497012,-1.1361835,-0.3800382,-1.3398902,-0.77798754,-0.885696,-0.8657284,-0.7413313,-0.06530037,-0.027601479,0.025438746,-1.7175021,-1.2775395,-0.4884806,0.033712044,0.18051158,-2.364974,0.23147717,0.98599166,-1.0958823,-1.2203807,-0.57349026,-0.015139812,0.18808989,-0.9684818,-2.95361,-0.6728445,0.13525464,-1.1431161,-0.66881996,-0.64533025,-0.29151544,0.048002563,-0.19188093,-0.23928736,-1.5303321,-1.0179443,-0.805649,0.4740314,0.315634
