x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47
1.3756135,-0.13535227,1.1779358,1.0150157,1.3128415,1.4570647,-0.08193301,-0.33886075,-1.155776,-1.6834611,0.12533444,-0.29897705,-1.0278562,-1.1298335,-0.11960236,0.7584197,-0.35674384,0.67353094,0.3427306,-0.006092718,-1.3359872,-0.44500557,-0.56094915,-1.3176466,0.28301865,-0.86569077,0.58933777,-1.3353899,-0.71791685,-1.7570907,-1.4329079,-0.7021643,0.7597633,0.39903435,-1.4873271,-1.1700687,-0.94255096,0.9278702,-0.8526725,-1.2026047,0.04181056,-0.7209707,-1.7036192,-0.50035703,-1.0945088,-2.0356789,-0.70140374,-0.51231647
0.38849413,-0.055460278,-0.03005741,0.5085168,1.2513764,0.81547564,-0.3953556,-0.02684788,0.11774431,-1.0097188,-0.3953569,-0.6857404,-0.7728417,-1.7590129,1.2046322,0.7620109,-0.40333986,0.25095785,0.52364093,-0.4412288,-1.503531,-0.7336006,-0.6234323,-1.0250665,-0.3422112,-0.807608,-1.0634379,-0.48449832,-0.8213805,-0.6763495,-1.2336996,-0.51937914,0.1797214,1.2402703,-0.77811706,-0.88233113,-0.23472951,1.0572386,-1.1610073,-0.9351029,0.43330947,-0.4191384,-1.234575,-0.06477933,-0.47350553,-2.140224,-0.5073934,-0.7829111
0.11767649,0.32181555,-0.83300966,-0.10158289,0.6781217,0.33742,-0.76564085,-1.0610538,-0.11163004,-1.1013671,-0.3459218,-0.8838127,-0.9094861,-1.6937824,-0.8533326,-0.628916,-0.7383833,-0.23008935,0.138069,-0.61116725,-1.2176487,-0.75448453,-0.58290035,-0.32424814,-0.58900034,-0.98323876,-0.55129653,-1.2422981,-0.8054719,-1.0767661,-0.75442857,-0.4791357,-1.1059802,-0.73761755,-0.4877928,-0.43766764,-0.5969634,-0.12074114,-0.49777246,-0.7515504,-0.036536362,-0.98154974,-0.8973254,-0.39356902,-1.4090252,-1.2021971,-0.44107312,-0.6243415
-0.8200003,-0.8237895,-1.6805587,-0.43888748,0.35659227,0.046614453,-0.7697664,-1.6605564,-0.09788776,-1.2605975,-1.1784499,-1.0662497,-1.0731293,-0.22469363,-0.87106687,-0.42640755,-0.8192425,-0.12237685,-0.081355385,-0.9539455,-1.4785098,-0.73647726,-0.7951849,-0.36130866,-1.2078042,-0.8003344,-0.90494555,-1.963526,-0.95326465,-1.2245193,-1.1430126,-0.647218,-1.4987805,0.4479061,0.47220644,-0.61444825,-1.8035512,-0.09765594,-0.7475457,-1.0754956,-0.33581042,-0.6494228,-1.9335169,-0.49002194,-1.0493286,-1.0899769,-0.11990383,-0.55871147
-0.37255237,0.06290363,-1.2354993,-0.102847785,0.23569089,0.35598654,-0.51003295,-1.088914,-0.8997185,-0.9659146,-1.5924183,-0.37972116,-0.4980034,0.015784321,1.4897492,0.47750866,-0.5253367,-0.10552695,0.3740511,-0.4262775,-1.2854997,-0.50373703,-0.43734562,0.09425991,-0.372176,-1.1809882,-0.982111,-0.98302275,-0.8633001,0.27597943,-0.28700203,-0.74986655,-0.75897324,0.7195389,0.05547334,-0.3608545,0.94013804,-0.83543026,-0.5350619,-0.7706724,-0.37632453,-0.8692547,-0.21783002,0.39228013,-0.42951804,-0.31656963,-0.46386272,0.026657095
-0.5726717,0.06961724,-1.4468448,-0.26981357,0.50894386,0.3029279,-0.6049772,-0.57179236,0.68004984,-0.50164187,-1.422147,-0.72799385,-0.38416395,-1.6570528,0.07882845,0.16461201,-0.47446835,-0.069021165,-0.038249694,-0.73160964,-1.047024,-0.5502851,-0.31399766,-0.46116716,0.07532654,-0.74010354,0.9192091,-0.9707369,-1.9018265,-0.13352643,-0.59000766,-0.66779745,0.38955244,-0.87458336,0.8867041,-0.74351805,0.27932757,1.1693128,-0.4132419,-0.725874,-1.9045168,-0.6360345,-0.5679414,0.13791266,-0.6126538,-0.29738188,-0.40438023,-0.13824715
-1.1641346,-1.0732148,-1.5026957,-0.72017545,-0.048573356,-0.4018879,-1.1414365,-1.1480094,0.19871393,-1.2077323,-1.4973972,-0.79244167,-0.256783,-2.0793157,-0.7312444,0.17514004,-0.83729994,-0.27227756,-0.65696526,-1.5001237,-0.87627465,-0.75251037,-0.5407866,-0.55451113,-0.8375514,-1.6734052,0.29678056,-1.9757339,-0.42471182,-0.5789942,-0.38804156,-0.83118975,-0.30235448,-1.0490687,-0.23002806,-0.9268839,0.81469417,-1.836245,-0.8013932,-0.72918296,-2.7092595,-1.6546109,-0.7161335,-0.07272756,-0.22657047,-0.46699592,-1.0496113,-0.07245401
-1.6230961,-1.2763745,-1.5785732,-1.2173684,-0.66045415,-0.8273339,-1.617975,-1.3554806,0.08548112,-1.2964084,-0.86557746,-1.0993508,-0.6068743,-0.88506895,0.031714894,-0.3283318,-1.4074414,-0.75567955,-1.0069312,-1.283842,-1.2569702,-0.8899688,-0.8893295,-1.1710188,-0.7923048,-2.0175846,0.091831185,-1.6216265,-1.5551769,-0.62339455,-0.6588366,-1.2726587,-0.2654563,-0.33889538,0.29508504,-1.1828426,-1.2238576,-1.0800263,-1.4318329,-0.859601,-0.90742767,-1.4584681,-1.2096201,-1.6026081,-1.6996859,-1.1155701,-0.74611044,-0.34228742
-1.6642213,-1.2995802,-1.3194155,-0.9365021,-0.63679844,-0.91451484,-1.538523,-0.6206135,0.1495326,-1.1711999,-0.58403873,-1.3777095,-0.62317795,-0.42257828,-1.297558,-0.35275596,-1.3585701,-0.6544955,-0.8496329,-1.333048,-0.5346335,-0.8603281,-0.7397836,-1.3205317,-1.1427385,-1.0014867,-0.6021471,-1.6657048,-0.46744427,-0.3321191,-0.5731225,-1.291136,-1.7487285,0.56574327,-0.44057837,-1.2471651,0.64172417,0.24445717,-1.2319704,-0.8134663,-0.95065254,-1.2025712,-1.4187135,-1.2654406,-1.8763922,-1.1833762,-1.1389394,-0.7274491
-1.1898956,-0.57521063,-1.9883325,-0.6833731,-0.68829167,-0.7411566,-0.8733943,-0.76302725,0.6017515,-0.8000473,-0.47317305,-0.8139497,0.017550038,0.4574156,-1.4630893,1.1121571,-0.8036661,-0.08240239,0.05791023,-0.9632103,-0.98202246,-0.5216032,-0.25186738,-0.822762,-0.12568626,-1.2010014,0.39504737,-2.0406177,0.2263775,-0.919482,-0.27933928,-0.5293581,-0.8268589,0.9482884,1.0054543,-0.6234126,1.7990236,0.4907984,-0.35400456,-0.6063533,-0.7017044,-0.6178375,-0.7464944,0.0015753263,-0.38416323,-0.34351712,-0.6146648,-0.5852327
