x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47
-1.235792,0.02828565,1.3899264,-0.2262317,-0.64033043,0.0678428,1.1153334,-0.43621486,0.57582283,-0.58865005,-1.4304202,-0.48013145,0.1269622,-0.11276432,-0.5281567,1.3827137,0.9971269,2.5724669,0.5422542,0.34107053,-0.36471763,0.83863974,0.4419788,-1.274133,-1.1055123,0.85672975,0.60559404,-0.94042814,-0.92467433,-0.5798896,0.7642061,0.37005654,-0.17408606,0.23109752,-0.2995481,-0.443731,-0.92873114,-0.035131376,-0.18339987,-0.5284571,-1.0933901,-0.5290626,0.019763287,-0.34102666,-0.1764245,-0.8882541,1.1743618,-0.7696329
-1.9680786,-0.95541334,-0.5219555,-1.2565045,-0.9719288,0.23411575,-0.1237802,-1.1594093,0.6867255,-0.8766033,-0.8588343,-1.0020851,0.18669441,-0.64741135,1.794121,-1.2384634,0.025157712,1.66527,0.2088886,-0.1598795,-1.1706631,-0.51103026,-0.69421333,-0.9014458,-0.8738573,-0.2689997,-0.57656926,-1.056694,-1.0385453,-1.4391712,-0.56489164,0.27199876,-0.48623902,-1.3992922,0.3112605,-0.20950483,-0.55386543,0.23733015,-0.49588138,-1.2082624,0.17678843,-0.8993857,-0.63333946,-2.0696645,-0.71788335,-1.0551871,-1.2614268,-1.3468935
-1.892112,-1.4330317,-0.8780809,-1.4695854,-0.45578766,0.04500963,-0.073325425,-0.10625555,1.1253449,-0.67658466,-0.9741085,-1.8420259,-0.5226444,-1.3081218,0.5402649,-1.1841588,0.07631785,1.1784246,0.18377247,-0.33339146,-1.1636786,-0.70520675,-0.617406,-1.091363,-0.44076493,-0.35711086,-1.058253,-1.3205106,-2.7421927,-1.9486415,-0.5846022,-0.13004601,0.09623563,-1.5822742,2.15246,-0.3150433,-0.8551797,-0.97867143,-0.1293704,-1.3733053,-0.27300432,-1.3144648,-1.1153486,-0.91209763,-1.7580833,-1.0290506,1.4812832,-1.3963035
-1.9275285,-0.30961162,-1.5983847,-1.9365147,-0.537855,-1.9147531,-1.069879,-0.5953992,-0.043504413,-1.6462735,-1.4240496,-1.4144984,-1.2246354,-1.2195536,0.28095046,-1.6280462,-0.55648124,-0.6771217,-0.58235306,-1.2637211,-1.1660186,-1.1398889,-1.3854369,-1.1262572,-0.40108427,-1.4704813,0.9146414,-1.5164034,-2.0293593,-1.4921818,-1.1014942,-0.47660503,-0.9404522,-1.351405,-1.4395982,-0.928406,-0.6380928,-0.49839333,-0.54113215,-1.5432413,-1.1566753,-1.4204385,-0.9749351,-1.5376979,-1.9656757,-1.4100521,-0.5308202,-1.7572899
-2.0705428,-1.6711198,-1.3660738,-1.5728006,-0.7671572,-1.4047703,-1.2403022,-0.9551061,-0.77051306,-0.9401878,-0.5566252,-1.0159439,-1.6891971,-1.2497379,-1.4352213,-1.7821743,-0.6351496,0.12475716,-0.88461614,-0.9536687,-0.91507363,-0.8040362,-0.76937836,-0.9623002,-0.49351496,-1.6356896,-0.19315632,-1.2053666,-3.0227096,-1.6246185,-0.8980196,0.1684319,-1.2479397,-0.63738143,0.18926671,-1.3263171,0.37741014,-0.42959607,-0.22070937,-1.2079855,-1.5708934,-2.0901666,-2.044519,-2.1573522,-1.5177758,-1.7499865,0.5087188,-1.3442419
-2.130642,-1.9704884,-2.291291,-2.018125,-0.7477734,-1.369889,-1.2052995,-1.858925,-0.87249535,-1.5059929,-1.6081885,-1.5039277,-0.9229752,-1.3499689,0.18642692,-2.0095556,-0.62224025,-0.23576072,-0.4685111,-1.0035825,-1.303581,-1.5184119,-0.8781466,-1.4127647,-1.7814513,-1.9422292,-0.1891883,-1.8487557,-2.1070971,-2.700132,-1.0001012,0.32550994,-2.2318838,-1.4704804,-1.9201219,-1.0142357,-0.15596892,-0.40867195,-0.22850625,-1.6365799,-0.8267414,-1.4101402,-1.3757131,-1.0852343,-2.3396072,-1.9924711,-0.631983,-1.668049
-1.2609932,-1.3216552,-1.002158,-0.7104825,0.69497377,-1.2441298,-1.9924923,-0.25678426,-1.3318226,-1.574996,-0.50329757,-0.9171852,-1.8831893,-0.83634984,0.54717255,-0.36175373,-1.6265471,-1.0350405,-0.97441214,-0.6471539,-0.5398261,-1.3289078,-0.99874747,-0.32636338,0.34585965,-2.4465563,-1.5864291,-0.95687366,-1.1194175,-1.8522546,-0.7301502,-1.1914829,0.66234154,-0.5103963,-1.0634156,-1.1439943,-0.5248803,0.27482262,-0.54713863,-1.2917533,-1.6106542,-1.9839848,-1.0428294,-0.9460954,-1.7116631,-1.2741361,-0.15013938,-0.72991014
-0.99212855,-0.84695065,0.34058842,0.12598486,0.39256632,-0.23237295,-1.1158662,-0.51227516,0.5516459,-1.8497708,0.17249328,-0.35611698,-0.75157624,0.63526106,0.5409398,-0.4807395,-0.9910303,-0.21090676,0.19932373,0.7462481,0.14674506,-0.5692171,-0.8775149,0.118725926,-0.047378033,-0.96319044,1.1678451,0.21672377,-0.27729687,-0.7502806,-0.3911406,-0.44339254,0.3212467,-2.1865885,1.4666333,-0.37626567,-0.410225,0.9854697,-0.0068728025,-0.9209839,-0.63859755,-0.62460804,-0.6905051,-1.4472122,-0.77297974,-1.0141522,-0.95430225,-0.7906668
-0.13907327,-0.49586716,-0.54698974,0.07995699,0.21012323,-0.22277494,-0.765019,0.32458684,-0.29394683,-1.4894361,-0.023031773,0.18589862,-0.64305854,0.48883104,0.48587716,-0.8470048,-1.1239071,-0.61555535,-0.08046525,0.190078,0.21853986,-0.45196182,-0.18523864,0.09753542,-0.26427242,-1.1469586,-0.3313154,0.60996264,0.33833578,0.0071472367,0.05706585,-1.0272964,0.72153,-1.0103413,-0.054133173,-0.1265915,-0.68829876,0.96169597,0.65239644,-0.7174424,-0.27239418,-1.048477,-0.4702856,-0.37428987,-0.74598414,-1.5229782,1.5311333,-0.27001372
-0.55447817,-0.6646098,-0.7581616,-0.2813524,0.07768875,0.0138160875,-1.2490324,-0.39865732,-0.4713981,-1.7421688,0.7503054,-0.5355663,-0.3160559,-0.82224995,0.6530103,0.047109906,-1.3376925,-0.83794147,-0.47001606,-0.62472075,-0.19485644,-0.5460305,0.0791233,0.5370281,-0.823955,-0.8494993,1.7482575,-0.13266043,-0.7200144,-0.8116931,-0.983977,-0.17305243,-0.6982816,-0.25151452,-0.47962117,0.035680756,-0.802954,0.7373111,-0.25980926,-0.14885552,0.65173256,-1.0059576,-0.4618156,-1.2057654,-1.3721323,0.0057153427,-0.08450546,-0.107045785
